,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
1765,1400 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Clover Citadel, Oxford Village, Wanawari ",3 out of 5 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 08, '18", 1.45 Cr,,Resale
1766,4000 sqft,carpet area,2 Covered,"    4 BHK Villa  for Sale in Purple Cloud 9, NIBM Road ",,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 3.55 Cr,,Resale
1767,900 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Project Clover Village, Wanawari ",2 out of 4 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Jan 19, '18", 85 Lac,,Resale
1768,1760 sqft,carpet area,1 Covered,"    4 BHK Apartment  for Sale in Konark Indrayu, NIBM Annexe ",5 out of 7 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 1.50 Cr,,Resale
1769,590 sqft,carpet area,1 Open,"    1 BHK Apartment  for Sale in Clover Village, Wanawari ",4 out of 6 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 58 Lac,,Resale
1770,1404 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Nine Hills, NIBM Road ",10 out of 14 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 1.25 Cr,,Resale
1771,1350 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in F Residences, Kalyani Nagar ",7 out of 18 floors,Unfurnished,Ready to Move,Certified Agent,"Bramha Corp.,","Mar 06, '18", 1.50 Cr,,New Property
1772,980 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in F Residences, Kalyani Nagar ",6 out of 18 floors,Unfurnished,Ready to Move,Certified Agent,"Bramha Corp.,","Mar 06, '18", 1.05 Cr,,Resale
1773,911 sqft,carpet area,,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",5 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 07, '18", 89 Lac,,Resale
1774,1180 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Renuka Gulmohar Phase II, Morwadi, Pimpri Chinchwad ",4 out of 7 floors,Unfurnished,Possession by Oct '18,Builder,Renuka Constructions,"Mar 08, '18", 1.13 Cr,,New Property
1775,1180 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Renuka Gulmohar Phase II, Pimpri Chinchwad ",5 out of 7 floors,Unfurnished,Possession by Oct '18,Builder,Renuka Constructions,"Mar 03, '18", 1.02 Cr,,New Property
1776,590 sqft,carpet area,,"    1 BHK Apartment  for Sale in Clover Village, Wanawari ",4 out of 6 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 62 Lac,,Resale
