,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
11080,950 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Mont Vert Grande, in Sutarwadi, Pashan Pune ",4 out of 11 floors,Unfurnished,Ready to Move,Agent,Surya Properties,"Feb 23, '18", 82 Lac,,Resale
11081,684 sqft,carpet area,1 Covered,"    2 BHK Flat  , Wagholi Pune ",9 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Optimus Realtors,"Feb 20, '18", 38.3 Lac,,New Property
11082,950 sqft,carpet area,,"    2 BHK Flat  for sale Sun Empire, in Sinhagad Road Pune ",3 out of 7 floors,Semi-Furnished,Ready to Move,Agent,Preet Properties ,"Mar 13, '18", 73 Lac,,Resale
11083,750 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Shree Bhagwati Shilp, in Punawale, Pimpri Chinchwad Pune ",5 out of 6 floors,Unfurnished,Ready to Move,Agent,Hiranandani Properties,"Mar 06, '18", 43.3 Lac,,New Property
11084,725 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Shree Bhagwati Shilp, in Punawale, Pimpri Chinchwad Pune ",5 out of 6 floors,Semi-Furnished,Ready to Move,Agent,Hiranandani Properties,"Mar 06, '18", 44 Lac,,Resale
11085,782 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Kalpataru Harmony, in Wakad, Pimpri Chinchwad Pune ",6 out of 11 floors,Unfurnished,Ready to Move,Agent,Ishan Realty,"Feb 27, '18", 82.5 Lac,,Resale
11086,1150 sqft,super area,1 Covered,"    2 BHK Flat  for sale Dorabjee Paradise Township, in Mohammed Wadi Pune ",3 out of 11 floors,Unfurnished,Ready to Move,Agent,City Properties,"Mar 09, '18", 68 Lac, 5913,Resale
11087,704 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Space Elena, in Bavdhan Pune ",6 out of 8 floors,Unfurnished,Possession by Dec '18,Agent,PFSP,"Feb 18, '18", 63.9 Lac,,New Property
11088,785 sqft,carpet area,1 Open,"    2 BHK Flat  for sale Nyati Eternity, in NIBM Road Pune ",12 out of 12 floors,Semi-Furnished,Ready to Move,Agent,Krown Estate,"Jan 26, '18", 63 Lac,,Resale
11089,990 sqft,super area,1 Covered,"    2 BHK Flat  for sale Grand Bay, in Manjri, Manjri Budruk Pune ",4 out of 12 floors,Unfurnished,Ready to Move,Agent,Pawar Real Estate,"Feb 22, '18", 55 Lac, 5556,Resale
11090,750 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Eisha Bella Vista, in Kondhwa Pune ",4 out of 11 floors,Semi-Furnished,Ready to Move,Agent,Ideal Property,"Mar 01, '18", 60 Lac,,Resale
11091,1000 sqft,super area,1 Covered,"    2 BHK Flat  for sale Madhav Baug Project, in Hadapsar Pune ",2 out of 4 floors,Unfurnished,Ready to Move,Certified Agent,Shiv Properties Pune,"Jan 28, '18", 60 Lac, 6000,Resale
11092,1000 sqft,super area,1 Covered,"    2 BHK Flat  for sale Kumar Purva, in Hadapsar Pune ",8 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Shiv Properties Pune,"Jan 28, '18", 62 Lac, 6200,Resale
11093,847 sqft,super area,1 Covered,"    2 BHK Flat  for sale Armada, in Wakad, Pimpri Chinchwad Pune ",4 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Hot Deals,"Mar 16, '18", 56 Lac, 6612,New Property
11094,1060 sqft,carpet area,1 Covered,"    2 BHK Flat  , Prabhat Road Pune ",1 out of 5 floors,Unfurnished,Ready to Move,Agent,Dreamtech Properties,"Feb 15, '18", 1.75 Cr,,New Property
11095,1000 sqft,super area,1 Covered,"    2 BHK Flat  , Aundh Pune ",6 out of 8 floors,Unfurnished,Ready to Move,Agent,Sai Realtors,"Feb 25, '18", 80 Lac, 8000,Resale
11096,725 sqft,super area,1 Covered,"    2 BHK Flat  , Katraj Pune ",2 out of 7 floors,Unfurnished,Ready to Move,Agent,Pune Property Bazaar,"Mar 16, '18", 27.6 Lac, 3800,New Property
11097,645 sqft,carpet area,,"    2 BHK Flat  for sale Swarvihar, in Hadapsar Pune ",2 out of 3 floors,Unfurnished,Ready to Move,Agent,Matoshree Properties,"Feb 11, '18", 45 Lac,,Resale
11098,750 sqft,carpet area,,"    2 BHK Flat  , Pimple Nilakh, Pimpri Chinchwad Pune ",2 out of 5 floors,Unfurnished,Ready to Move,Agent,Sai Properties,"Feb 15, '18", 65 Lac,,Resale
11099,730 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Dreams Belle Vue, in Bavdhan Pune ",2 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Corazon Homes,"Mar 01, '18", 64 Lac,,Resale
11100,678 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Costa Blanca, in Samarth Colony, Baner Pune ",4 out of 11 floors,Unfurnished,Ready to Move,,Dbhoomi Real Estate,"Mar 04, '18", 67 Lac,,Resale
11101,700 sqft,carpet area,1 Open,"    2 BHK Flat  , Kothrud Pune ",5 out of 8 floors,Furnished,Ready to Move,Agent,Dreamtech Properties,"Feb 17, '18", 98 Lac,,Resale
11102,900 sqft,carpet area,,"    2 BHK Flat  , Magarpatta City Pune ",4 out of 8 floors,Unfurnished,Ready to Move,Agent,Innovative Properties,"Feb 21, '18", 65 Lac,,Resale
11103,919 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Park Turquoise, in Wakad, Pimpri Chinchwad Pune ",4 out of 12 floors,Semi-Furnished,Ready to Move,Agent,Ganraj Home Real Estate & Property Consultant,"Mar 09, '18", 85 Lac,,Resale
11104,1050 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Marvel Cascada, in Balewadi Pune ",14 out of 16 floors,Semi-Furnished,Ready to Move,Agent,PROPKING REALTY,"Feb 06, '18", 1.07 Cr,,Resale
11105,750 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale DSK Vidyanagari, in Baner Pune ",5 out of 10 floors,Unfurnished,Ready to Move,Agent,Home Finder Realty,"Feb 22, '18", 65 Lac,,Resale
11106,971 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Vista Luxaria, in Manjri, Manjri Budruk Pune ",9 out of 11 floors,Unfurnished,Ready to Move,Agent,Kale Palave Real Estate,"Feb 18, '18", 53.5 Lac,,Resale
11107,860 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Godrej Infinity, in Keshav Nagar, Mundhwa Pune ",9 out of 19 floors,Unfurnished,Possession by Sep '19,Certified Agent,Prop Rise Property Consultancy,"Feb 06, '18", 66 Lac,,New Property
11108,603 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Bhuvi, in Wakad, Pimpri Chinchwad Pune ",8 out of 12 floors,Unfurnished,Ready to Move,Agent,Pride Homes,"Feb 08, '18", 66 Lac,,New Property
11109,932 sqft,super area,1 Covered,"    2 BHK Flat  for sale Neo City, in Wagholi Pune ",,Unfurnished,Ready to Move,Agent,Palak,"Mar 05, '18", 34 Lac, 3648,New Property
11110,750 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Ganga Legend, in Bavdhan Pune ",11 out of 22 floors,Semi-Furnished,Possession by Jun '18,Certified Agent,Prop Rise Property Consultancy,"Mar 01, '18", 75.5 Lac,,New Property
11111,950 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Purva Silversands, in Mundhwa Pune ",10 out of 29 floors,Unfurnished,Ready to Move,,Yes Property,"Mar 04, '18", 50 Lac,,New Property
11112,820 sqft,carpet area,1 Covered,"    2 BHK Flat  , Anand Nagar Pune ",1 out of 4 floors,Unfurnished,Ready to Move,Agent,Shree Real Estate Agency,"Feb 14, '18", 80 Lac,,New Property
11113,950 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Kumar Palmgrove, in Kondhwa Pune ",6 out of 9 floors,Unfurnished,Ready to Move,Agent,Luckee Properties,"Mar 02, '18", 60 Lac,,Resale
11114,1300 sqft,carpet area,1 Covered,"    2 BHK Flat  , Gahunje Pune ",4 out of 25 floors,Semi-Furnished,Ready to Move,Certified Agent,Prop Rise Property Consultancy,"Feb 25, '18", 86 Lac,,New Property
11115,748 sqft,carpet area,1 Covered,"    2 BHK Flat  , Dhanori Pune ",11 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Optimus Realtors,"Feb 23, '18", 66.2 Lac,,New Property
11116,579 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Pyramid County, in Bhukum Pune ",,Unfurnished,Possession by Dec '18,Builder,Prasad Life Space LLP,"Mar 14, '18", 33.3 Lac,,New Property
11117,1250 sqft,super area,1 Covered,"    2 BHK Flat  for sale Bramha Sun City Phase II, in Joggers Park Pune ",5 out of 9 floors,Unfurnished,Ready to Move,Agent,Aarya Properties,"Mar 12, '18", 86 Lac, 6880,Resale
