,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
96,-,9.39,9.39,9.39,200,100,298,"1,343",180,,,,,,,,,,,,Adarsh Plantation Projects Ltd.,PUMPS
97,1197,251.00,247.60,250.70,1103,627,"4,795","2,283","7,922",,,,,,,,,,,,ADC India Communications Ltd.,TELECOMMUNICATIONS - EQUIPMENT
98,,,,,,,,,,,,,,,,,,,,,Adcon Capital Services Ltd.,FINANCE - INVESTMENTS
99,,,,,,,,,,,,,,,,,,,,,Adcon Capital Services Ltd.,FINANCE - INVESTMENTS
100,,,,,,,,,,,,,,,,,,,,,Add-Life Pharma Ltd.,PHARMACEUTICALS
101,135,10.00,10.00,10.00,699,"7,170","1,462",981,"2,129",,,,,,,,,,,,Addi Industries Ltd.,TEXTILES - HOSIERY & KNITWEAR
102,,,,,,,,,,,,,,,,,,,,,Adel Visi Ltd.,MISCELLANEOUS
103,5371,289.00,285.95,293.95,1568,"42,161","45,677","71,199","36,374",289.40,287.85,293.45,"211,597","210,256","323,637","185,200",100%,,,,ADF Foods Industries Ltd.,FOOD PROCESSING
104,,,,,,,,,,,,,,,,,,,,,Adharshila Capital Services  Ltd.,BANKS - PRIVATE SECTOR
105,,,,,,,,,,,,,,,,,,,,,Adhbhut Infrastructure Ltd.,INFRASTRUCTURE - GENERAL
106,165,93.55,89.15,91.35,1320,"9,442","6,788","9,319","5,010",85.80,90.30,90.60,"3,825","12,733","22,965","11,532",,,,,Adhunik Industries Ltd.,STEEL - MEDIUM & SMALL
107,14.66 K,5.80,5.76,5.83,3400,"42,056","198,580","144,947","235,857",5.60,5.85,5.75,"60,198","431,598","407,877","577,584",100%,,,,Adhunik Metaliks Ltd.,STEEL - SPONGE IRON
108,,,,,,,,,,,,,,,,,,,,,Adhunik Synthetics Ltd.,TEXTILES - WEAVING
109,,,,,,,,,,,,,,,,,,,,,Adhunik Yarns Ltd.,TEXTILES - PROCESSING
110,,,,,,,,,,,,,,,,,,,,,Adi Rasayan Ltd.,DYES & PIGMENTS
111,,,,,,,,,,,,,,,,,,,,,Adinath Bio-Labs Ltd.,PHARMACEUTICALS
112,1494,24.05,25.20,26.45,-,"4,492","2,064","1,608","3,337",,,,,,,,100%,,,,Adinath Exim Resources Ltd.,FINANCE - INVESTMENTS
113,15,5.51,5.24,5.24,550,820,471,684,409,,,,,,,,,,,,ADINATH TEXTILES Ltd.,TEXTILES - SPINNING - SYNTHETIC BLENDED
114,,,,,,,,,,,,,,,,,100%,,,,Adithya Alkaloids Ltd.,PHARMACEUTICALS
115,,,,,,,,,,,,,,,,,,,,,Adithya Aqua Culture Ltd.,AQUACULTURE
116,,,,,,,,,,,,,,,,,,,,,Aditya Birla Chemicals Ltd.,CHEMICALS
117,5303,168.05,167.15,165.65,8258,"947,886","68,216","160,854","71,810",168.00,167.50,166.05,"189,638","539,424","754,721","616,278",100%,,,,Aditya Birla Fashion & Retail Ltd.,RETAIL
118,2000,190.00,189.05,192.75,4000,"52,000",0,0,0,,,,,,,,,,,,Aditya Consumer Marketing Ltd.,RETAIL
119,,,,,,,,,,,,,,,,,,,,,Aditya Electro Communications Ltd.,ELECTRICALS
120,,,,,,,,,,,,,,,,,,,,,Aditya Exports Ltd.,MISCELLANEOUS
121,,,,,,,,,,,,,,,,,,,,,Aditya Forge Ltd.,CASTINGS & FORGINGS
122,,,,,,,,,,,,,,,,,,,,,Aditya International Ltd.,TRADING
123,4799,7.60,7.99,8.05,850,"1,550","3,295","2,435","3,104",,,,,,,,,,,,Aditya Ispat Ltd.,STEEL - MEDIUM & SMALL
124,,,,,,,,,,,,,,,,,,,,,Aditya Lime Industries Ltd.,CHEMICALS
125,,,,,,,,,,,,,,,,,,,,,Aditya Mills Ltd.,DIVERSIFIED
126,,,,,,,,,,,,,,,,,,,,,Aditya Polymers Ltd.,PACKAGING
127,100,9.51,9.52,9.52,-,650,"2,453","1,893","4,117",,,,,,,,50%,,,50%,Aditya Spinners Ltd.,TEXTILES - SPINNING - SYNTHETIC BLENDED
128,2000,129.00,127.00,123.00,2000,"4,000",0,0,0,,,,,,,,,,,,Aditya Vision Ltd.,MISCELLANEOUS
129,874,65.70,65.70,64.55,3487,"13,030","16,421","24,918","19,893",66.00,66.10,64.15,"57,078","67,408","82,765","70,190",100%,,,,Adlabs Entertainment Ltd.,MISCELLANEOUS
130,3345,122.55,125.40,123.10,4140,"10,860","18,232","20,078","21,865",,,,,,,,,,,,Ador Fontech Ltd.,ELECTRODES & GRAPHITE
131,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,Ador Technopak Ltd.,PACKAGING
133,655,544.55,541.20,547.90,567,"4,751","13,297","13,940","14,647",544.00,541.10,549.10,"25,362","86,552","96,749","81,978",100%,,,100%,Ador Welding Ltd.,ELECTRODES & GRAPHITE
134,200,20.25,21.25,20.30,250,299,"1,046","1,457",475,,,,,,,,,,,,Adore Multiproducts Ltd.,PERSONAL CARE
135,,,,,,,,,,,,,,,,,,,,,ADS Diagnostic Ltd.,HOSPITALS & MEDICAL SERVICES
136,,,,,,,,,,,,,,,,,,,,,Advance Bio-Coal (India) Ltd.,MISCELLANEOUS
137,,,,,,,,,,,,,,,,,,,,,Advance Lifestyles Ltd.,TEXTILES - SPINNING - COTTON BLENDED
138,2404,30.35,29.65,29.25,1220,"3,744","9,773","14,059","7,663",,,,,,,,,,,,Advance Metering Technology Ltd.,POWER - GENERATION & DISTRIBUTION
139,,,,,,,,,,,,,,,,,,,,,Advance Multitech Ltd.,RUBBER
140,,,,,,,,,,,,,,,,,,,,,Advance Petrochemicals Ltd.,DETERGENTS
141,22.4 K,2.20,2.20,2.20,-,600,"2,131","2,042","1,260",,,,,,,,,,,,Advance PowerInfra Tech Ltd.,FINANCE - INVESTMENTS
142,11.5 K,18.15,21.00,19.25,23 K,"11,500",0,0,0,,,,,,,,,,,,Advance Syntex  Ltd.,MISCELLANEOUS
143,1717,292.00,289.80,286.65,1990,"40,064","67,974","66,597","45,934",290.40,289.70,286.95,"94,238","450,418","424,373","283,776",78%,,,22%,Advanced Enzyme Technologies Ltd.,PHARMACEUTICALS
144,30,5.15,5.30,5.05,30,84,657,621,504,,,,,,,,,,,,Advanced Micronic Devices Ltd.,HOSPITALS & MEDICAL SERVICES
145,1733,79.90,77.15,80.00,4912,"18,984","22,307","22,872","18,461",80.00,77.90,79.40,"48,770","112,444","123,721","114,356",,,,,Advani Hotels and Resorts (India) Ltd.,HOTELS
146,,,,,,,,,,,,,,,,,,,,,Advanta Ltd.,MISCELLANEOUS
147,-,2.54,2.54,2.54,1000,"1,350","3,181","1,801","3,344",,,,,,,,,,,,Advent Computer Services Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
148,35.7 K,4.60,4.01,4.15,28.99 K,"92,311","133,193","47,060","265,434",,,,,,,,60%,,,40%,Advik Industries Ltd.,FINANCE - INVESTMENTS
149,874,5.89,6.17,6.39,1942,"3,340","8,657","7,073","10,703",,,,,,,,,,,,Advik Laboratories Ltd.,PHARMACEUTICALS
150,,,,,,,,,,,,,,,,,100%,,,,AEC Enterprises Ltd.,MISCELLANEOUS
151,,,,,,,,,,,,,,,,,,,,,AEC (India) Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
152,7273,286.15,289.50,285.00,1135,"16,357","30,849","42,004","34,633",289.80,289.80,285.15,"140,400","172,976","240,896","187,782",100%,,,,Aegis Logistics Ltd.,TRANSPORT & LOGISTICS
153,,,,,,,,,,,,,,,,,,,,,Aeonian Investments Ltd.,FINANCE - INVESTMENTS
154,,,,,,,,,,,,,,,,,,,,,Aesculapius Remedies Ltd.,PHARMACEUTICALS
155,,,,,,,,,,,,,,,,,,,,,Aftek Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
156,232,618.00,606.00,610.00,823,"1,736",990,"1,151","1,503",596.10,607.00,610.00,"2,286",0,0,0,,,,,Agarwal Industrial Corporation Ltd.,TRANSPORT & LOGISTICS
157,568,118.20,122.80,122.00,1,188,"1,119","11,045","1,019",120.00,123.10,120.95,"2,096","6,262","61,233","6,320",,,,,AGC Networks Ltd.,COMPUTERS - SOFTWARE
158,3000,145.00,145.00,145.00,1000,"1,000",0,0,0,,,,,,,,,,,,AGI Infra Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
159,15,5.89,6.19,5.89,-,20,971,"2,974",433,,,,,,,,,,,,Agio Paper & Industries Ltd.,PAPER
160,,,,,,,,,,,,,,,,,,,,,Agri Marine Exports Ltd.,AQUACULTURE
161,825,115.20,114.90,118.25,249,"2,425","8,327","7,364","8,341",117.80,116.40,117.30,"7,228","31,298","26,066","29,005",60%,,,40%,Agri-Tech (India) Ltd.,FERTILISERS
162,,,,,,,,,,,,,,,,,,,,,Agrimas Chemicals Ltd.,PESTICIDES & AGRO CHEMICALS
163,,,,,,,,,,,,,,,,,,,,,Agrimony Commodities Ltd.,TRADING
164,,,,,,,,,,,,,,,,,,,,,Agritech Hatcheries and Foods Ltd.,MISCELLANEOUS
165,,,,,,,,,,,,,,,,,,,,,Agro Chem Punjab Ltd.,FERTILISERS
166,,,,,,,,,,,,,,,,,,,,,Agro Dutch Industries Ltd.,FOOD PROCESSING
167,,,,,,,,,,31.30,33.25,32.25,"240,000","67,200","102,800","94,800",100%,,,,Agro Phos India Ltd.,DIVERSIFIED
168,104,697.50,688.90,686.20,659,651,"4,036","6,579","6,683",687.90,687.50,681.75,"12,714","39,345","60,550","57,648",100%,,,,Agro Tech Foods Ltd.,EDIBLE OILS & SOLVENT EXTRACTION
169,,,,,,,,,,,,,,,,,,,,,AGS Infotech Ltd.,COMPUTERS - SOFTWARE
170,,,,,,,,,,25.00,26.20,26.20,0,"7,800",0,"7,200",100%,,,,Ahimsa Industries Ltd.,PLASTICS
171,,,,,,,,,,,,,,,,,,,,,Ahlcon Parenteral (India) Ltd.,PHARMACEUTICALS
172,551,370.50,375.10,365.20,660,"9,343","13,964","15,006","4,702",370.00,372.60,362.75,"34,205","29,121","37,932","31,559",,,,,Ahluwalia Contracts India Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
173,1275,25.95,25.95,26.10,-,125,820,"1,248","1,280",,,,,,,,,,,,Ahmedabad Stellcr Ltd.,STEEL - ROLLING
174,,,,,,,,,,,,,,,,,,,,,Ahura Welding Elec Mfg Ltd.,ELECTRODES & GRAPHITE
175,620,39.55,37.70,39.55,-,"10,695",857,"1,276",805,38.75,36.95,38.05,"17,637","1,645",678,"2,752",100%,,,100%,AI Champdany Industries Ltd.,MISCELLANEOUS
176,502,1606.50,1587.55,1587.45,573,"2,565","2,181","19,695","2,459",1605.00,1599.80,1593.30,"11,442","28,176","44,056","29,423",100%,,,,AIA Engineering Ltd.,CASTINGS & FORGINGS
177,,,,,,,,,,,,,,,,,,,,,Aikyam Intellectual Property Consultancy Ltd.,PACKAGING
178,6638,208.10,207.85,218.20,-,"22,605","13,555","15,863","13,759",,,,,,,,,,,,Aimco Pesticides Ltd.,PESTICIDES & AGRO CHEMICALS
179,,,,,,,,,,,,,,,,,100%,,,,Air Command India Ltd.,CONSUMER GOODS - WHITE GOODS
180,,,,,,,,,,,,,,,,,,,,,Air Command Technologies Ltd.,CONSUMER GOODS - WHITE GOODS
181,,,,,,,,,,232.00,240.05,234.50,"9,000","26,400","13,833","4,600",,,,,Airan Ltd.,COMPUTERS - HARDWARE
182,,,,,,,,,,51.00,50.60,49.25,"72,000","34,200","80,300","32,400",,,,,Airo Lam Ltd.,MISCELLANEOUS
183,1942,10.01,10.14,9.98,46.09 K,"32,390","127,649","72,446","52,348",,,,,,,,100%,,,,Aishwarya Telecom Ltd.,TELECOMMUNICATIONS - EQUIPMENT
184,,,,,,,,,,,,,,,,,,,,,AJ Brothers Ltd.,ALUMINIUM
185,294,1569.65,1557.25,1586.35,484,"22,513","17,442","21,308","21,464",1561.00,1560.05,1588.65,"190,383","176,373","284,746","239,362",86%,7%,86% buying,7%,Ajanta Pharma Ltd.,PHARMACEUTICALS
186,2732,70.20,69.55,68.05,3650,"7,181","15,307","20,187","13,995",,,,,,,,100%,,,,Ajanta Soya Ltd.,VANASPATI & OILS
187,,,,,,,,,,,,,,,,,,,,,Ajanta Tubes Ltd.,STEEL - TUBES & PIPES
188,80,38.50,37.60,38.65,450,"1,827","1,448","7,346","2,057",,,,,,,,,,,,Ajcon Global Ltd.,FINANCE - INVESTMENTS
189,-,4.18,4.18,4.18,71,20,"1,987","1,223",390,,,,,,,,63%,18%,63% buying,19%,AJEL Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
190,4510,311.10,309.05,310.85,432,"10,666","46,738","52,325","36,116",313.00,311.35,310.70,"92,198","204,255","218,050","148,965",67%,,,,Ajmera Realty and Infra India Ltd.,CONSTRUCTION & CONTRACTING - REAL ESTATE
191,,,,,,,,,,51.10,50.20,47.70,"64,000","222,000",0,"128,000",75%,,,25%,Ajooni Biotech Ltd.,DIVERSIFIED
