,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
311,9264,378.85,378.85,381.50,6556,"51,708","165,131","2,020,979","99,283",378.30,378.80,382.30,"1,094,491","1,820,729","2,996,800","1,574,563",67%,,,33%,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES
312,79,1406.00,1400.50,1420.20,385,"6,051","5,282","6,583","4,841",1398.45,1398.30,1419.70,"86,113","107,110","123,311","93,794",,,,,Motilal Oswal Financial Services Ltd.,FINANCE - GENERAL
313,2659,772.35,788.75,790.70,369,"4,550","15,454","10,025","22,830",795.00,794.35,789.55,"215,672","287,200","169,155","286,117",100%,,,,MphasiS Ltd.,COMPUTERS - SOFTWARE
314,37,69449.90,68945.85,69127.55,43,378,546,717,504,69100.00,68804.45,69156.00,"7,715","7,268","8,920","7,429",80%,,,20%,MRF Ltd.,TYRES
315,4150,126.00,125.90,126.30,5182,"173,388","271,039","259,745","274,810",126.00,126.00,125.95,"1,012,424","1,685,852","1,471,755","1,588,048",100%,,,,Mangalore Refinery and Petrochemicals Ltd.,REFINERIES
316,2.03 L,26.45,26.25,25.90,38.78 K,"726,161","1,085,418","1,260,654","1,190,394",26.25,26.25,25.95,"2,107,761","3,718,175","5,358,774","3,785,374",100%,,,,Mahanagar Telephone Nigam Ltd.,TELECOMMUNICATIONS - SERVICE
317,769,434.20,431.70,434.25,545,"19,745","56,551","51,881","48,780",431.20,431.20,434.25,"390,996","711,475","648,923","614,083",,,,,Muthoot Finance Ltd.,FINANCE - INVESTMENTS
318,1.86 L,75.80,75.30,77.05,23.03 K,"683,019","807,520","747,076","944,256",75.90,75.30,77.00,"8,551,619","8,089,053","7,304,430","9,929,762",100%,,,,National Aluminium Company Ltd.,ALUMINIUM
319,4071,290.20,290.20,288.80,5993,"1,579","6,012","4,526","7,430",290.40,289.35,289.60,"38,963","76,544","96,228","92,101",,,,,Narayana Hrudayalaya Ltd.,HOSPITALS & MEDICAL SERVICES
320,3070,1006.00,1005.75,1014.85,535,"27,906","25,606","27,445","21,843",1004.00,1010.25,1022.40,"290,092","351,315","344,049","312,972",100%,,,,Natco Pharma Ltd.,PHARMACEUTICALS
321,8772,165.00,167.40,165.10,52.72 K,"61,760","184,050","155,623","196,998",165.00,167.65,164.70,"411,117","1,023,335","1,138,110","1,076,244",,,,,Nava Bharat Ventures Ltd.,DIVERSIFIED
322,838,790.05,790.65,792.00,1558,"6,491","13,229","13,175","21,447",799.95,788.15,790.55,"26,502","25,529","45,054","31,363",100%,,,,Navin Fluorine International Ltd.,CHEMICALS
323,4325,200.25,195.75,199.10,2943,"56,854","124,327","179,721","107,524",199.00,195.50,199.80,"237,222","875,105","775,952","801,911",,,,,Navkar Corporation Ltd.,TRANSPORT & LOGISTICS
324,3625,155.20,156.35,157.15,2656,"4,207","10,787","8,186","7,514",155.15,156.65,156.80,"27,562","167,836","96,991","193,390",,,,,Navneet Education Ltd.,PRINTING & STATIONERY
325,12.02 K,238.00,237.80,240.10,7362,"111,440","182,614","460,665","204,274",237.00,237.75,240.30,"785,593","1,381,098","1,642,286","1,215,696",,,,,NBCC (India) Ltd.,INFRASTRUCTURE - GENERAL
326,24.22 K,124.00,123.20,126.30,18.13 K,"419,670","616,812","599,639","570,327",123.25,123.25,126.70,"6,478,859","6,640,340","5,846,416","5,531,020",100%,,,,NCC Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
327,105,7757.50,7770.70,7692.20,432,781,"2,595","2,454","3,478",7800.00,7736.20,7680.65,"19,037","36,038","34,961","37,389",,,,,Nestle India Ltd.,FOOD PROCESSING
328,28.34 K,55.00,54.50,54.55,16.79 K,"188,179","578,749","603,769","735,314",54.80,54.55,54.60,"891,222","3,392,109","2,875,789","4,374,780",,,,,Network 18 Media & Investments Ltd.,FINANCE - GENERAL
